,est_diameter_min,est_diameter_max,relative_velocity,miss_distance,absolute_magnitude,hazardous
0,0.32962154705,0.7370561859,13569.2492241812,54839744.08284605,16.73,0
1,0.2658,0.5943468684,73588.7266634981,61438126.52395093,20.0,1
2,0.32962154705,0.7370561859,114258.6921290512,49798724.94045679,17.83,0
3,0.096506147,0.2157943048,24764.3031380016,25434972.72075825,22.2,0
4,0.2550086879,0.5702167609,42737.7337647264,46275567.00130072,20.09,1
5,0.0363542322,0.0812905344,34297.5877783029,40585691.22792288,24.32,0
6,0.1716148941,0.3837425691,27529.4723069673,29069121.41864897,20.95,0
7,0.0053278866,0.0119135167,57544.4700827352,55115019.25807114,28.49,0
8,0.32962154705,0.7370561859,56625.2101223615,69035980.03881611,19.4,0
9,0.1058168859,0.2366137501,48425.8403287922,38355261.56076106,22.0,0
10,0.2526707542,0.5649889822,58430.6971996129,38337496.948336646,20.11,1
11,0.1529519353,0.3420109247,64393.9283164601,71983105.30586366,21.2,0
12,0.0699125232,0.1563291544,38018.6152911655,52093021.60346941,22.9,0
13,0.0061454682,0.0137416847,24323.0461447781,24617585.592055667,28.18,0
14,0.2901048414,0.648694146,10402.0021780274,60789296.02771025,19.81,0
15,0.32962154705,0.7370561859,74576.9307604201,59880809.89977076,18.7,0
16,0.0069912523,0.0156329154,75486.0908535512,71387057.94968764,27.9,0
17,0.04411182,0.0986370281,70770.591144329,27717237.017649755,23.9,0
18,0.0291443905,0.0651688382,42111.044076208,39421282.189457454,24.8,0
19,0.32962154705,0.7370561859,104810.0937203257,18832837.961159527,18.8,0
20,0.0097848681,0.0218796303,49452.2405777563,57667088.95334734,27.17,0
21,0.0101054342,0.0225964377,27462.3780123238,38913011.95197583,27.1,0
22,0.0030517923,0.0068240151,47644.44846305,52948852.88647757,29.7,0
23,0.2016299194,0.4508582062,114385.73612954916,15101017.143061124,20.6,1
24,0.0506471459,0.1132504611,33803.1665613625,70394867.7294613,23.6,0
25,0.32962154705,0.7370561859,69871.9773106199,58438716.66670029,18.9,0
26,0.1756123185,0.3926810818,71487.9408268469,21123317.70931803,20.9,0
27,0.1108038821,0.2477650126,48655.3051323529,32797747.230158422,21.9,1
28,0.0319561887,0.0714562102,17906.4910924356,66979305.81433465,24.6,0
29,0.1363185559,0.3048175575,109370.3761722582,68231700.54084484,21.45,0
30,0.0506471459,0.1132504611,67866.9270709547,67973444.05314478,23.6,0
31,0.32962154705,0.7370561859,24889.1853045411,74035215.4339695,17.06,0
32,0.2210828104,0.4943561926,40625.2889513582,14891803.160525508,20.4,1
33,0.2016299194,0.4508582062,35852.7091885332,41530278.35873013,20.6,0
34,0.3051792326,0.6824015094,50429.0751880435,68493001.73415387,19.7,0
35,0.2231284644,0.4989304142,53877.1691510381,72103117.57910845,20.38,0
36,0.0146067964,0.0326617897,18985.1919130411,46329518.186574526,26.3,0
37,0.0056565936,0.0126485278,62986.2883263234,31121553.675848275,28.36,0
38,0.32962154705,0.7370561859,52325.4536501944,68178439.2710279,16.23,0
39,0.32962154705,0.7370561859,37279.21093304,32530625.542762592,18.3,1
40,0.32962154705,0.7370561859,25692.767376194,25448430.02155091,19.48,0
41,0.2424124811,0.5420507863,39304.7215089966,70760700.6887492,20.2,0
